tweet_created,tweet_id,tweet_content
2022-05-25 20:34:10+00:00,1529561486422589440,"@JoeMyGod Yes, given the way this country and its politicians actively promote gerrymandering the only way we are a… https://t.co/7iOGk5Z3aa"
2022-05-25 20:34:09+00:00,1529561482408493056,@MrsRobPope @davidhogg111 You had a super majority in congress didn’t you?
2022-05-25 20:34:09+00:00,1529561482131906562,@CNYCentral Some in Congress will and the rest will work on thoughts and prayers.
2022-05-25 20:34:06+00:00,1529561467338604552,"In other words, only a very vocal minority of Republicans have the Hands Off My Guns mentality we're bombarded w/af… https://t.co/JoJQfmfLBH"
2022-05-25 20:34:05+00:00,1529561464972910594,"The House will vote on a so-called red flag gun bill when lawmakers return to Washington in two weeks.

https://t.co/C2adpFd6mP"
2022-05-25 20:34:04+00:00,1529561458849226756,💔 Can someone please explain what #GeorgeFloyd has ANYTHING to do with the #TexasSchoolMassacre‼️ He was a #drug us… https://t.co/O5RLgnrTyr
2022-05-25 20:34:03+00:00,1529561456349327360,PNG elections: Peoples' National Congress party endorses over 90 candidates https://t.co/G2CKHalSgo #PNG https://t.co/NmIrJtZKSr
2022-05-25 20:34:02+00:00,1529561449365897218,Raising the age to buy a gun and requiring extensive background checks federally seems like two things that could b… https://t.co/cKuHbKYqSg
2022-05-25 20:34:01+00:00,1529561447075921920,"Rising #childcare costs hurt families, with some even experiencing homelessness. We must increase equitable access… https://t.co/6VmW4PGJIk"
2022-05-25 20:34:00+00:00,1529561442239893504,"refuse or unwilling to act, let’s refuse or be unwilling to vote for those congress persons. #freshcongress @AOC"
2022-05-25 20:33:57+00:00,1529561431586258945,@ResistGOPism Good. Don’t give up. We accumulate the power to make change by increasing our representation in congr… https://t.co/svvW3OEAsq
2022-05-25 20:33:57+00:00,1529561428818001921,@BidenTour @questauthority You're attempting to imply that the regulations we have now are the only regulations pos… https://t.co/dn4rp5ETN6
2022-05-25 20:33:56+00:00,1529561426196561927,@NicolleDWallace Everybody with any common sense should be outraged! My God in what other country could a person no… https://t.co/Qn4oi3bnGi
2022-05-25 20:33:55+00:00,1529561423508119553,"People: Can we have gun control?
Congress: We have gun control at home.

Gun control at home: ""Good guys with guns"""
2022-05-25 20:33:55+00:00,1529561423222919170,@JDiamond1 @SpiroAgnewGhost Congress has an approval rating now of 9. NINE!!! Would you eat at a restaurant rated 9… https://t.co/rPJ129f0cq
2022-05-25 20:33:54+00:00,1529561419506761729,"@TonyTonyRoy Aye it’s a play over power in Congress, a fucking absolute disgrace of a nation, mental"
2022-05-25 20:33:54+00:00,1529561417023643649,"@ShitcoinWhispr If you don't understand its not to late to learn how America was founded, how the Constitution work… https://t.co/nZD96gRBmK"
2022-05-25 20:33:53+00:00,1529561412900626437,"Then WE have to move THEM...
the hell out of Congress!
They are DO NOTHING Republicans
except ensuring PROFIT for t… https://t.co/lsXWU4fxYj"
2022-05-25 20:33:52+00:00,1529561409289322499,"Meanwhile, Democrats in Congress wait patiently for Republicans to embrace gun legislation. https://t.co/lhZuafgGZ2"
2022-05-25 20:33:51+00:00,1529561407124955136,"Hey @SenJohnHoeven the gun lobby has spent $22,050  in support of you. Represent the voters, not the gun lobby, or… https://t.co/kx7tMHf7Qx"
2022-05-25 20:33:51+00:00,1529561406466662402,I hope the parents of the slain children in Texas sue every member of congress that voted against gun legislation a… https://t.co/7ZeUyXFhYj
2022-05-25 20:33:50+00:00,1529561400066056195,"@BlameBigGovt He was a member of Congress, a body currently regarded about as highly as a yeast infection."
2022-05-25 20:33:48+00:00,1529561392998764547,"After Texas tragedy, Schumer says Democrats will negotiate on guns https://t.co/qIIdkDMhdZ"
2022-05-25 20:33:47+00:00,1529561388640763904,"Hey @marcorubio the gun lobby has spent $3,303,355  in support of you. Represent the voters, not the gun lobby, or… https://t.co/pTT34gQ2a0"
2022-05-25 20:33:45+00:00,1529561380353114112,"Sanket Upadhyay calls himself a journalist. 

NDTV calls itself a news channel.

Congress calls itself a democratic… https://t.co/qwVFoxd2MV"
2022-05-25 20:33:44+00:00,1529561377521733632,"A Republican member of Congress owns a gun store and makes millions selling military-style rifles, body armor, ammu… https://t.co/MHJFMJfMiE"
2022-05-25 20:33:43+00:00,1529561369657450496,"We talk about upholding the constitution, but that same legislation is what’s killing our children, our parents, ou… https://t.co/YiWgi1rDYy"
2022-05-25 20:33:40+00:00,1529561359561760768,"@JudyWoodruff @NBCNews @washingtonpost @POTUS @RepDonBeyer re: Dr. Topol at Scripps, a widespread Covid variant vax… https://t.co/11Cz7ck2TB"
2022-05-25 20:33:38+00:00,1529561352574234624,@CoryBooker Do you and others members of Congress and the Senate enjoy armed protection? Why not our children? Why… https://t.co/xheWWSzQEH
2022-05-25 20:33:38+00:00,1529561351391268865,"@Pierre77200 @lalasosophie Encore mieux 😻

tu crois que je devrais supprimer mon twt pour pas inquiéter ?"
2022-05-25 20:33:37+00:00,1529561346332844032,@AOC Why are you on Congress ???
2022-05-25 20:33:37+00:00,1529561345879834627,@SliderLinda But does the federal government have the right to tell an Italian-American man what he can or cannot d… https://t.co/eDh1z9bRtR
2022-05-25 20:33:34+00:00,1529561332403478528,"This is who @SpeakerPelosi @LeaderHoyer @WhipClyburn want in Congress. This is what they support, regardless of wha… https://t.co/rhEwfj35MO"
2022-05-25 20:33:31+00:00,1529561319758000129,https://t.co/GRj51OArE8
2022-05-25 20:33:27+00:00,1529561306000498688,@BY1959 @RonFilipkowski This guy is a disgrace to Congress &amp; to the medical profession.
2022-05-25 20:33:26+00:00,1529561300203806720,@jrpsaki Don’t ask how when you know who controls Congress &amp; who funds their campaigns. You know the answer. What u… https://t.co/Y373Sxquxs
2022-05-25 20:33:25+00:00,1529561296122875904,4chan trolls and even members of Congress quickly fomented anti-trans rhetoric based on lies. https://t.co/x7SfuLicZi
2022-05-25 20:33:24+00:00,1529561292956225537,"@NewYorker @winterjessica Stop blaming ""Congress"" and start putting blame where it mainly belongs: with the GOP. Mi… https://t.co/evbeyvjCg0"
2022-05-25 20:33:24+00:00,1529561292033359880,@LindseyGrahamSC I don’t understand why this is political!  Children have died! Can congress for once so what is ri… https://t.co/DhVFqazydA
2022-05-25 20:33:22+00:00,1529561285427625984,@tapmal5 @RashmiDVS @WokeWire @SanghisUnited We also have union of nincompoops. Known as Congress and AAP!
2022-05-25 20:33:22+00:00,1529561284395532289,"So I understand Congress can’t just pass any law it wants. It has to be one that’s vested under Art. 1 § 8. 

I’m c… https://t.co/g72trohkD9"
2022-05-25 20:33:21+00:00,1529561278368215041,@BLEACHEDxCROSS @BalnisMichael @JoshuaPotash Yes making enough to “mostly” cover your student debt &amp; credit card pa… https://t.co/LaPkWF4XVg
2022-05-25 20:33:20+00:00,1529561276103499776,"President Biden there are two mass shooting in New York and Texas in a few days, if this happened in any country it… https://t.co/EU6gou5G83"
2022-05-25 20:33:18+00:00,1529561265567215616,"@KTVB Admire his passion, but instead of blaming the Republicans, just ask Congress to get something passed. Be sur… https://t.co/HHwTqqswOO"
2022-05-25 20:33:17+00:00,1529561261062639616,@nathaliejacoby1 Yes.  I am a teacher and I have a background check every school year.I think members of Congress s… https://t.co/oFand46JOM
2022-05-25 20:33:15+00:00,1529561253253124096,@Sinner_Lilith @asjah8 @therrienv @skeeduu @henriziolkowski @ahrehead @JenCages @417craig @radicalcentrst… https://t.co/O5hSpfizrh
2022-05-25 20:33:14+00:00,1529561249494728705,"George Floyd Policing Act?
how retarded can Congress get with this?"
2022-05-25 20:33:13+00:00,1529561243731779588,"Estamos no Smart City Business Brazil Congress 2022, o mais estratégico evento sobre cidades inteligentes, apresent… https://t.co/HGJQWt85o9"
2022-05-25 20:33:11+00:00,1529561237234892800,"@chipfranklin Best way is : The   Congress,  Block politicians to receive donations  from guns makers  or NRA ."
2022-05-25 20:33:11+00:00,1529561236765130753,"@laurenboebert true, I mean just look at the witch they have in Congress over in Colorado"
2022-05-25 20:33:10+00:00,1529561231769882624,".@Potus @JoeBiden if you’re going to hostile territory anyway, go to Congress, please. https://t.co/PCpX5nIuux"
2022-05-25 20:33:09+00:00,1529561230410764288,"@JDTsamohT Most Americans want background checks, red flag laws and restrictions on some firearms. I believe it’s a… https://t.co/CXRGsGDfbV"
